	user_id	post_id	like	food_type	totalLikes
835	440	603	0	Chocolate Souffle	4
836	650	151	0	Mushroom & Chestnut Rotolo	12
837	969	439	0	Portuguese barbecued pork (Febras assadas)	5
841	174	175	0	Salmon Eggs Eggs Benedict	14
842	808	175	0	Salmon Eggs Eggs Benedict	14
843	660	175	1	Salmon Eggs Eggs Benedict	14
844	487	175	0	Salmon Eggs Eggs Benedict	14
845	146	175	0	Salmon Eggs Eggs Benedict	14
846	964	232	0	Osso Buco alla Milanese	7
847	842	394	1	Brown Stew Chicken	8
848	626	394	0	Brown Stew Chicken	8
850	622	356	1	Duck Confit	7
851	223	356	0	Duck Confit	7
852	93	356	1	Duck Confit	7
855	202	386	1	Tonkatsu pork	6
859	14	311	0	Chicken Fajita Mac and Cheese	7
861	441	526	0	Lamb Tagine	5
862	205	526	0	Lamb Tagine	5
863	153	739	0	Teriyaki Chicken Casserole	5
864	187	739	0	Teriyaki Chicken Casserole	5
866	434	142	1	Kapsalon	12
867	16	142	0	Kapsalon	12
868	295	839	1	Spaghetti Bolognese	4
869	588	115	1	Mushroom & Chestnut Rotolo	12
870	180	115	0	Mushroom & Chestnut Rotolo	12
871	54	795	1	Rock Cakes	5
872	80	795	0	Rock Cakes	5
873	814	795	0	Rock Cakes	5
876	472	423	1	Jamaican Beef Patties	4
877	496	423	0	Jamaican Beef Patties	4
878	818	970	0	Ayam Percik	8
879	655	619	1	Tunisian Lamb Soup	4
880	415	728	0	Portuguese barbecued pork (Febras assadas)	5
881	852	653	0	Osso Buco alla Milanese	7
882	812	653	1	Osso Buco alla Milanese	7
883	540	653	0	Osso Buco alla Milanese	7
885	500	706	1	Lancashire hotpot	6
886	81	557	1	Salmon Prawn Risotto	4
887	304	54	1	Lamb Tzatziki Burgers	7
888	833	293	0	Cashew Ghoriba Biscuits	4
889	610	293	1	Cashew Ghoriba Biscuits	4
890	324	192	0	Ful Medames	6
891	793	192	1	Ful Medames	6
892	174	55	0	Fennel Dauphinoise	5
893	412	849	1	Christmas Pudding Flapjack	6
894	706	849	1	Christmas Pudding Flapjack	6
895	257	50	0	Jamaican Beef Patties	4
897	856	611	0	Jam Roly-Poly	5
898	1	719	1	Salmon Prawn Risotto	4
899	443	594	1	Chicken Fajita Mac and Cheese	7
901	320	663	1	Peanut Butter Cookies	6
904	13	156	1	Beef Dumpling Stew	4
905	653	156	1	Beef Dumpling Stew	4
907	326	936	1	Bigos (Hunters Stew)	4
908	793	716	0	Rappie Pie	8
909	986	794	1	Dundee cake	4
910	789	758	0	Portuguese barbecued pork (Febras assadas)	5
911	708	466	0	Jamaican Beef Patties	4
912	414	69	1	Chicken & mushroom Hotpot	5
913	459	707	0	Salmon Eggs Eggs Benedict	14
914	135	707	1	Salmon Eggs Eggs Benedict	14
915	318	531	1	Peach & Blueberry Grunt	5
916	17	352	0	Rosół (Polish Chicken Soup)	4
917	536	162	1	Matar Paneer	5
920	797	443	0	Summer Pudding	7
921	697	566	0	Moroccan Carrot Soup	7
922	98	441	0	Spring onion and prawn empanadas	4
923	605	71	1	Summer Pudding	7
924	836	71	0	Summer Pudding	7
928	269	251	1	Tahini Lentils	8
929	348	378	1	Bean & Sausage Hotpot	5
930	505	405	0	Fish pie	4
935	436	823	1	Chicken Basquaise	6
936	510	752	1	Chelsea Buns	8
937	622	277	0	Chocolate Souffle	4
938	626	368	1	Cevapi Sausages	6
939	48	30	1	Fish Stew with Rouille	4
940	55	978	1	Brown Stew Chicken	8
941	252	39	0	Pate Chinois	7
942	438	39	1	Pate Chinois	7
944	841	440	0	Summer Pudding	7
945	308	254	0	Blackberry Fool	8
947	807	68	1	Kapsalon	12
948	905	768	1	Toad In The Hole	5
949	474	768	0	Toad In The Hole	5
952	624	506	0	Lasagne	4
955	40	607	0	Spaghetti Bolognese	4
956	865	222	0	Key Lime Pie	4
958	546	930	1	Mediterranean Pasta Salad	6
959	453	930	0	Mediterranean Pasta Salad	6
961	309	889	0	Honey Yogurt Cheesecake	11
962	216	767	0	Chocolate Souffle	4
964	980	113	1	Duck Confit	7
965	164	435	0	Kapsalon	12
966	288	435	1	Kapsalon	12
967	963	435	1	Kapsalon	12
974	744	494	0	Spring onion and prawn empanadas	4
975	977	899	0	Tahini Lentils	8
976	553	28	0	Hot Chocolate Fudge	4
977	488	307	1	Turkey Meatloaf	4
981	329	713	1	Chicken Fajita Mac and Cheese	7
982	923	713	0	Chicken Fajita Mac and Cheese	7
983	645	764	0	Lancashire hotpot	6
984	772	150	0	McSinghs Scotch pie	4
985	393	301	0	Roasted Eggplant With Tahini, Pine Nuts, and Lentils	4
986	542	837	1	Chicken Alfredo Primavera	4
987	723	779	0	Leblebi Soup	6
988	807	888	0	Three Fish Pie	9
989	717	691	1	French Omelette	10
990	71	120	0	Smoked Haddock Kedgeree	17
991	452	682	0	Fish Stew with Rouille	4
992	658	682	1	Fish Stew with Rouille	4
994	385	263	0	Dundee cake	4
995	670	997	1	Chicken Basquaise	6
996	22	902	1	Christmas Pudding Trifle	5
998	81	967	1	Moroccan Carrot Soup	7
999	673	501	1	Rock Cakes	5
1000	689	836	0	Tuna Nicoise	4
